number,value,datetime_start,datetime_complete,duration,params_dropout_0,params_dropout_1,params_dropout_2,params_hidden_0,params_hidden_1,params_learning_rate,params_weight_decay,state
23,0.5415106062328676,2025-04-01 11:29:13.832500,2025-04-01 11:29:25.574343,0 days 00:00:11.741843,0.1634248762330943,0.1714291319031329,0.4135823636906643,333,256,0.007915703831727721,0.00014732623105601948,COMPLETE
24,0.48281556487416755,2025-04-01 11:29:25.575170,2025-04-01 11:29:36.778668,0 days 00:00:11.203498,0.22772021849226864,0.1157565630913782,0.43301216787873176,333,288,0.00635820006721091,9.427285167777459e-05,PRUNED
25,0.5163423099321047,2025-04-01 11:29:36.779329,2025-04-01 11:29:48.453842,0 days 00:00:11.674513,0.23694795457719536,0.1632048742629693,0.4217629676895816,397,256,0.008850708498443534,8.392578655189147e-05,PRUNED
26,0.40171330408838957,2025-04-01 11:29:48.454554,2025-04-01 11:29:59.843170,0 days 00:00:11.388616,0.20873072834108844,0.15904218901886288,0.3425227300036809,333,288,0.005216839775535025,8.711147597873264e-05,PRUNED
27,0.7210862174764598,2025-04-01 11:29:59.843804,2025-04-01 11:30:12.272101,0 days 00:00:12.428297,0.14599720708258673,0.17047423967261882,0.34244022566618826,333,288,0.003541944638864863,0.00016275418367032733,PRUNED
28,0.460640375604764,2025-04-01 11:30:12.272711,2025-04-01 11:30:23.845944,0 days 00:00:11.573233,0.2518579677415982,0.15340735600810113,0.4337149777233247,365,256,0.0054632972698778,0.00015138886949095888,PRUNED
29,0.4338295237167239,2025-04-01 11:30:23.846516,2025-04-01 11:30:39.528353,0 days 00:00:15.681837,0.1743417513718948,0.1360480189350932,0.387786913320425,333,256,0.0033041888740964697,0.00011164932843651564,PRUNED
30,0.7362537446212931,2025-04-01 11:30:39.529424,2025-04-01 11:30:54.354671,0 days 00:00:14.825247,0.22113567891682664,0.15475605845636162,0.355608314775965,333,256,0.007666065874155589,0.0001461154843091958,PRUNED
31,0.7493914604116174,2025-04-01 11:30:54.355600,2025-04-01 11:31:08.366248,0 days 00:00:14.010648,0.22303897670206596,0.17155013467032965,0.34141679578716927,493,256,0.0065692163342618865,0.00015027897299832202,COMPLETE
32,0.7298887169190688,2025-04-01 11:31:08.366893,2025-04-01 11:31:21.438028,0 days 00:00:13.071135,0.21600776608873254,0.20061855346478755,0.3298907299262649,461,256,0.006645847486761076,0.00016737542565879035,COMPLETE
33,0.7543766128813179,2025-04-01 11:31:21.439022,2025-04-01 11:31:34.732045,0 days 00:00:13.293023,0.22888338261796382,0.1554985945796775,0.3288117438558184,493,256,0.005887042801172762,0.0001441380536507449,COMPLETE
34,0.7377442719800883,2025-04-01 11:31:34.732690,2025-04-01 11:31:47.715782,0 days 00:00:12.983092,0.22700528053524696,0.11590109708581695,0.3213978464017663,461,256,0.00489639588107974,0.00010883776696930106,PRUNED
35,0.7130821835308263,2025-04-01 11:31:47.716604,2025-04-01 11:32:00.337890,0 days 00:00:12.621286,0.22379138630666762,0.16119350268577787,0.3633854692716484,493,256,0.007832625468176226,0.00015024166371095998,PRUNED
36,0.48238135326909937,2025-04-01 11:32:00.338440,2025-04-01 11:32:11.591737,0 days 00:00:11.253297,0.21113399194606994,0.15193269776907903,0.33745500496364333,493,256,0.005169487759128341,0.00013029918069844008,PRUNED
37,0.422008868115446,2025-04-01 11:32:11.592388,2025-04-01 11:32:22.817518,0 days 00:00:11.225130,0.26857884311732977,0.16941362198423887,0.3079208777271545,493,256,0.005611139563399357,0.00011926183666320882,PRUNED
38,0.4683107372743174,2025-04-01 11:32:22.818047,2025-04-01 11:32:34.187054,0 days 00:00:11.369007,0.3329928407015177,0.24336632737839964,0.36076247234367154,333,320,0.005495735860744966,5.058977338397951e-05,PRUNED
39,0.5015258470095376,2025-04-01 11:32:34.187649,2025-04-01 11:32:45.719685,0 days 00:00:11.532036,0.168433655431405,0.16431248667333184,0.44735208021908307,493,384,0.006734539029199961,0.0001083138180839851,COMPLETE
40,0.42762445439666785,2025-04-01 11:32:45.720512,2025-04-01 11:32:57.029686,0 days 00:00:11.309174,0.17652213440107484,0.11957428183040163,0.41034374011785596,333,256,0.006095845900641293,0.00011283768167796397,PRUNED
41,0.7128812953158359,2025-04-01 11:32:57.030222,2025-04-01 11:33:10.398816,0 days 00:00:13.368594,0.22998548454783044,0.1787954651266852,0.3169736236512905,493,256,0.007999549892524223,0.00017155401719451635,PRUNED
42,0.581421067125006,2025-04-01 11:33:10.399744,2025-04-01 11:33:22.840191,0 days 00:00:12.440447,0.2130660783392776,0.17396413360140603,0.4389542133728825,333,288,0.0059559097902756545,0.00010294240837667578,PRUNED
43,0.48744893487788077,2025-04-01 11:33:22.840734,2025-04-01 11:33:34.941363,0 days 00:00:12.100629,0.27559695227464687,0.17145819292066836,0.42076933751510354,493,288,0.006080047059729319,0.0001597138390111571,PRUNED
44,0.5714956908164508,2025-04-01 11:33:34.942243,2025-04-01 11:33:47.029532,0 days 00:00:12.087289,0.14384381846595257,0.1406000387603258,0.4193458573152816,365,384,0.0024823509503623256,7.075064003165993e-05,PRUNED
45,0.4530413420353151,2025-04-01 11:33:47.030067,2025-04-01 11:33:58.630906,0 days 00:00:11.600839,0.3078377038077301,0.15261607615011766,0.38830562257046625,461,384,0.002985254905397176,5.9634705741143435e-05,PRUNED
